date,realtime_end,realtime_start,AWH
1980-01-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.7
1980-01-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,72.0
1980-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.8
1980-02-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.7
1980-02-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,72.1
1980-02-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,72.0
1980-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.9
1980-03-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.1
1980-03-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,71.9
1980-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.7
1980-04-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.1
1980-04-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.2
1980-04-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.1
1980-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.0
1980-05-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,102.1
1980-05-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,70.6
1980-05-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,70.5
1980-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,70.4
1980-06-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,101.5
1980-06-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,70.0
1980-06-01 00:00:00,2016-02-04 00:00:00,2014-02-07 00:00:00,69.9
1980-06-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,69.8
1980-07-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,100.9
1980-07-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,69.6
1980-07-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,69.5
1980-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,69.4
1980-08-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,101.6
1980-08-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,70.2
1980-08-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,70.3
1980-08-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,70.2
1980-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,70.1
1980-09-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,102.2
1980-09-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,70.4
1980-09-01 00:00:00,2013-01-31 00:00:00,2004-02-06 00:00:00,70.5
1980-09-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,70.4
1980-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,70.3
1980-10-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,102.7
1980-10-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,70.8
1980-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,70.7
1980-11-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.1
1980-11-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.3
1980-11-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.2
1980-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.1
1980-12-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.5
1980-12-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.5
1980-12-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.4
1980-12-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.3
1981-01-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.2
1981-01-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.8
1981-01-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.7
1981-01-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.6
1981-02-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.1
1981-02-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,71.4
1981-02-01 00:00:00,2016-02-04 00:00:00,2014-02-07 00:00:00,71.3
1981-02-01 00:00:00,2018-06-30 00:00:00,2016-02-05 00:00:00,71.2
1981-03-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.3
1981-03-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.8
1981-03-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.7
1981-03-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.6
1981-04-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.3
1981-04-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.9
1981-04-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.8
1981-04-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.7
1981-05-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.7
1981-05-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.9
1981-05-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.8
1981-05-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.7
1981-06-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.8
1981-06-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.9
1981-06-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.8
1981-06-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.7
1981-07-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.1
1981-07-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,72.0
1981-07-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.9
1981-07-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.8
1981-08-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,104.0
1981-08-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,72.0
1981-08-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.9
1981-08-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.8
1981-09-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.7
1981-09-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.6
1981-09-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.5
1981-09-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.4
1981-10-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.7
1981-10-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.6
1981-10-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.5
1981-10-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.4
1981-11-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,103.4
1981-11-01 00:00:00,2013-01-31 00:00:00,2003-06-06 00:00:00,71.3
1981-11-01 00:00:00,2014-02-06 00:00:00,2013-02-01 00:00:00,71.2
1981-11-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,71.1
1981-12-01 00:00:00,2003-06-05 00:00:00,1997-02-07 00:00:00,102.4
1981-12-01 00:00:00,2004-02-05 00:00:00,2003-06-06 00:00:00,70.5
