date,realtime_end,realtime_start,BP
1980-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1280.0
1980-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1199.0
1980-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,988.0
1980-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,808.0
1980-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,861.0
1980-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1118.0
1980-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1259.0
1980-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1367.0
1980-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1484.0
1980-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1366.0
1980-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1383.0
1980-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1249.0
1981-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1221.0
1981-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1199.0
1981-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1183.0
1981-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1190.0
1981-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1173.0
1981-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,976.0
1981-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,935.0
1981-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,889.0
1981-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,847.0
1981-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,731.0
1981-11-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,748.0
1981-12-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,796.0
1982-01-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,794.0
1982-02-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,808.0
1982-03-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,891.0
1982-04-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,888.0
1982-05-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,953.0
1982-06-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,913.0
1982-07-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1044.0
1982-08-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,926.0
1982-09-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1042.0
1982-10-01 00:00:00,2018-06-30 00:00:00,1999-08-17 00:00:00,1149.0
