date,realtime_end,realtime_start,CPI
1980-01-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,78.0
1980-02-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,79.0
1980-03-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,80.1
1980-04-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,80.9
1980-05-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,81.7
1980-06-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,82.5
1980-07-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,82.6
1980-08-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,83.2
1980-09-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,83.9
1980-10-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,84.7
1980-11-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,85.6
1980-12-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,86.4
1981-01-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,87.2
1981-02-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,88.0
1981-03-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,88.6
1981-04-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,89.1
1981-05-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,89.7
1981-06-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,90.5
1981-07-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,91.5
1981-08-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,92.2
1981-09-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,93.1
1981-10-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,93.4
1981-11-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,93.8
1981-12-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,94.1
1982-01-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,94.4
1982-02-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,94.7
1982-03-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,94.7
1982-04-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,95.0
1982-05-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,95.9
1982-06-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,97.0
1982-07-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,97.5
1982-08-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,97.7
1982-09-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,97.7
1982-10-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,98.1
1982-11-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,98.0
1982-12-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,97.7
1983-01-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,97.9
1983-02-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,98.0
1983-03-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,98.1
1983-04-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,98.8
1983-05-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,99.2
1983-06-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,99.4
1983-07-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,99.8
1983-08-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,100.1
1983-09-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,100.4
1983-10-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,100.8
1983-11-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,101.1
1983-12-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,101.4
1984-01-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,102.1
1984-02-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,102.6
1984-03-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,102.9
1984-04-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,103.3
1984-05-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,103.5
1984-06-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,103.7
1984-07-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,104.1
1984-08-01 00:00:00,2018-06-30 00:00:00,1995-01-01 00:00:00,104.4
