date,realtime_end,realtime_start,FF
1980-01-01 00:00:00,2018-06-30,1980-01-31,13.82
1980-02-01 00:00:00,2018-06-30,1980-02-29,14.13
1980-03-01 00:00:00,2018-06-30,1980-03-31,17.19
1980-04-01 00:00:00,2018-06-30,1980-04-30,17.61
1980-05-01 00:00:00,2018-06-30,1980-05-31,10.98
1980-06-01 00:00:00,2018-06-30,1980-06-30,9.47
1980-07-01 00:00:00,2018-06-30,1980-07-31,9.03
1980-08-01 00:00:00,2018-06-30,1980-08-31,9.61
1980-09-01 00:00:00,2018-06-30,1980-09-30,10.87
1980-10-01 00:00:00,2018-06-30,1980-10-31,12.81
1980-11-01 00:00:00,2018-06-30,1980-11-30,15.85
1980-12-01 00:00:00,2018-06-30,1980-12-31,18.9
1981-01-01 00:00:00,2018-06-30,1981-01-31,19.08
1981-02-01 00:00:00,2018-06-30,1981-02-28,15.93
1981-03-01 00:00:00,2018-06-30,1981-03-31,14.7
1981-04-01 00:00:00,2018-06-30,1981-04-30,15.72
1981-05-01 00:00:00,2018-06-30,1981-05-31,18.52
1981-06-01 00:00:00,2018-06-30,1981-06-30,19.1
1981-07-01 00:00:00,2018-06-30,1981-07-31,19.04
1981-08-01 00:00:00,2018-06-30,1981-08-31,17.82
1981-09-01 00:00:00,2018-06-30,1981-09-30,15.87
1981-10-01 00:00:00,2018-06-30,1981-10-31,15.08
1981-11-01 00:00:00,2018-06-30,1981-11-30,13.31
1981-12-01 00:00:00,2018-06-30,1981-12-31,12.37
1982-01-01 00:00:00,2018-06-30,1982-01-31,13.22
1982-02-01 00:00:00,2018-06-30,1982-02-28,14.78
1982-03-01 00:00:00,2018-06-30,1982-03-31,14.68
1982-04-01 00:00:00,2018-06-30,1982-04-30,14.94
1982-05-01 00:00:00,2018-06-30,1982-05-31,14.45
1982-06-01 00:00:00,2018-06-30,1982-06-30,14.15
1982-07-01 00:00:00,2018-06-30,1982-07-31,12.59
1982-08-01 00:00:00,2018-06-30,1982-08-31,10.12
1982-09-01 00:00:00,2018-06-30,1982-09-30,10.31
1982-10-01 00:00:00,2018-06-30,1982-10-31,9.71
1982-11-01 00:00:00,2018-06-30,1982-11-30,9.2
1982-12-01 00:00:00,2018-06-30,1982-12-31,8.95
1983-01-01 00:00:00,2018-06-30,1983-01-31,8.68
1983-02-01 00:00:00,2018-06-30,1983-02-28,8.51
1983-03-01 00:00:00,2018-06-30,1983-03-31,8.77
1983-04-01 00:00:00,2018-06-30,1983-04-30,8.8
1983-05-01 00:00:00,2018-06-30,1983-05-31,8.63
1983-06-01 00:00:00,2018-06-30,1983-06-30,8.98
1983-07-01 00:00:00,2018-06-30,1983-07-31,9.37
1983-08-01 00:00:00,2018-06-30,1983-08-31,9.56
1983-09-01 00:00:00,2018-06-30,1983-09-30,9.45
1983-10-01 00:00:00,2018-06-30,1983-10-31,9.48
1983-11-01 00:00:00,2018-06-30,1983-11-30,9.34
1983-12-01 00:00:00,2018-06-30,1983-12-31,9.47
1984-01-01 00:00:00,2018-06-30,1984-01-31,9.56
