date,realtime_end,realtime_start,IP
1980-01-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,85.9
1980-01-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,81.83
1980-01-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,81.87
1980-01-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,65.631
1980-01-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,65.449
1980-01-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,64.52
1980-01-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,64.63
1980-01-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,57.963
1980-01-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,57.9635
1980-01-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,56.9156
1980-01-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,58.0865
1980-01-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,58.0448
1980-01-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,51.6445
1980-01-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,51.749
1980-01-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,51.8379
1980-01-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,51.8063
1980-01-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,51.8227
1980-01-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,53.6852
1980-01-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,53.9628
1980-01-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,53.7071
1980-01-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,53.5021
1980-02-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,86.2
1980-02-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,81.892
1980-02-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,81.933
1980-02-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,65.62
1980-02-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,65.438
1980-02-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,64.565
1980-02-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,64.658
1980-02-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,57.99
1980-02-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,57.9903
1980-02-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,56.9355
1980-02-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,58.1155
1980-02-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,58.0968
1980-02-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,51.6914
1980-02-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,51.7896
1980-02-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,51.8795
1980-02-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,51.847
1980-02-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,51.8523
1980-02-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,53.6976
1980-02-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,53.9815
1980-02-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,53.7262
1980-02-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,53.5079
1980-03-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,86.2
1980-03-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,81.868
1980-03-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,81.908
1980-03-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,65.416
1980-03-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,65.235
1980-03-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,64.377
1980-03-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,64.428
1980-03-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,57.801
1980-03-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,57.8011
1980-03-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,56.7541
1980-03-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,57.9281
1980-03-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,57.9259
1980-03-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,51.5261
1980-03-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,51.6282
1980-03-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,51.7177
1980-03-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,51.6878
1980-03-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,51.6869
1980-03-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,53.5284
1980-03-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,53.8006
1980-03-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,53.5481
1980-03-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,53.3284
1980-04-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,84.5
1980-04-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,80.271
1980-04-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,80.311
1980-04-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,64.093
1980-04-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,63.915
1980-04-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,63.098
1980-04-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,63.158
1980-04-01 00:00:00,2006-04-13 00:00:00,2005-11-07 00:00:00,56.659
1980-04-01 00:00:00,2006-12-10 00:00:00,2006-04-14 00:00:00,56.6595
1980-04-01 00:00:00,2008-03-27 00:00:00,2006-12-11 00:00:00,55.6309
1980-04-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,56.7639
1980-04-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,56.7596
1980-04-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,50.4917
1980-04-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,50.6005
1980-04-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,50.6891
1980-04-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,50.644
1980-04-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,50.6413
1980-04-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,52.4456
1980-04-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,52.7031
1980-04-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,52.4571
1980-04-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,52.2375
1980-05-01 00:00:00,1997-01-26 00:00:00,1995-01-01 00:00:00,82.5
1980-05-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,78.283
1980-05-01 00:00:00,2002-12-04 00:00:00,1997-12-09 00:00:00,78.322
1980-05-01 00:00:00,2003-03-13 00:00:00,2002-12-05 00:00:00,62.526
1980-05-01 00:00:00,2003-11-09 00:00:00,2003-03-14 00:00:00,62.352
1980-05-01 00:00:00,2004-12-21 00:00:00,2003-11-10 00:00:00,61.564
1980-05-01 00:00:00,2005-11-06 00:00:00,2004-12-22 00:00:00,61.57
