date,realtime_end,realtime_start,PHIL
1980-01-01 00:00:00,2018-06-30,1980-01-21,-18.5
1980-02-01 00:00:00,2018-06-30,1980-02-21,-20.9
1980-03-01 00:00:00,2018-06-30,1980-03-21,-19.0
1980-04-01 00:00:00,2018-06-30,1980-04-21,-37.1
1980-05-01 00:00:00,2018-06-30,1980-05-21,-53.0
1980-06-01 00:00:00,2018-06-30,1980-06-21,-54.8
1980-07-01 00:00:00,2018-06-30,1980-07-21,-57.1
1980-08-01 00:00:00,2018-06-30,1980-08-21,-39.4
1980-09-01 00:00:00,2018-06-30,1980-09-21,-10.3
1980-10-01 00:00:00,2018-06-30,1980-10-21,24.7
1980-11-01 00:00:00,2018-06-30,1980-11-21,9.0
1980-12-01 00:00:00,2018-06-30,1980-12-21,7.4
1981-01-01 00:00:00,2018-06-30,1981-01-21,2.1
1981-02-01 00:00:00,2018-06-30,1981-02-21,5.2
1981-03-01 00:00:00,2018-06-30,1981-03-21,7.8
1981-04-01 00:00:00,2018-06-30,1981-04-21,-1.2
1981-05-01 00:00:00,2018-06-30,1981-05-21,9.0
1981-06-01 00:00:00,2018-06-30,1981-06-21,-2.2
1981-07-01 00:00:00,2018-06-30,1981-07-21,5.5
1981-08-01 00:00:00,2018-06-30,1981-08-21,16.8
1981-09-01 00:00:00,2018-06-30,1981-09-21,7.5
1981-10-01 00:00:00,2018-06-30,1981-10-21,-13.2
1981-11-01 00:00:00,2018-06-30,1981-11-21,-25.7
1981-12-01 00:00:00,2018-06-30,1981-12-21,-34.5
1982-01-01 00:00:00,2018-06-30,1982-01-21,-19.8
1982-02-01 00:00:00,2018-06-30,1982-02-21,-15.3
1982-03-01 00:00:00,2018-06-30,1982-03-21,-15.6
1982-04-01 00:00:00,2018-06-30,1982-04-21,-3.2
1982-05-01 00:00:00,2018-06-30,1982-05-21,-4.6
1982-06-01 00:00:00,2018-06-30,1982-06-21,2.2
1982-07-01 00:00:00,2018-06-30,1982-07-21,2.8
1982-08-01 00:00:00,2018-06-30,1982-08-21,-3.2
1982-09-01 00:00:00,2018-06-30,1982-09-21,-13.6
1982-10-01 00:00:00,2018-06-30,1982-10-21,10.9
1982-11-01 00:00:00,2018-06-30,1982-11-21,2.3
1982-12-01 00:00:00,2018-06-30,1982-12-21,14.7
1983-01-01 00:00:00,2018-06-30,1983-01-21,12.5
1983-02-01 00:00:00,2018-06-30,1983-02-21,20.1
1983-03-01 00:00:00,2018-06-30,1983-03-21,32.8
1983-04-01 00:00:00,2018-06-30,1983-04-21,37.2
1983-05-01 00:00:00,2018-06-30,1983-05-21,37.6
1983-06-01 00:00:00,2018-06-30,1983-06-21,42.3
1983-07-01 00:00:00,2018-06-30,1983-07-21,49.5
1983-08-01 00:00:00,2018-06-30,1983-08-21,41.5
1983-09-01 00:00:00,2018-06-30,1983-09-21,40.7
1983-10-01 00:00:00,2018-06-30,1983-10-21,35.5
1983-11-01 00:00:00,2018-06-30,1983-11-21,45.1
1983-12-01 00:00:00,2018-06-30,1983-12-21,40.9
1984-01-01 00:00:00,2018-06-30,1984-01-21,47.0
1984-02-01 00:00:00,2018-06-30,1984-02-21,25.7
1984-03-01 00:00:00,2018-06-30,1984-03-21,35.6
1984-04-01 00:00:00,2018-06-30,1984-04-21,36.9
1984-05-01 00:00:00,2018-06-30,1984-05-21,31.7
1984-06-01 00:00:00,2018-06-30,1984-06-21,27.7
1984-07-01 00:00:00,2018-06-30,1984-07-21,1.4
1984-08-01 00:00:00,2018-06-30,1984-08-21,23.7
1984-09-01 00:00:00,2018-06-30,1984-09-21,22.3
1984-10-01 00:00:00,2018-06-30,1984-10-21,15.5
1984-11-01 00:00:00,2018-06-30,1984-11-21,2.7
1984-12-01 00:00:00,2018-06-30,1984-12-21,2.0
1985-01-01 00:00:00,2018-06-30,1985-01-21,5.5
1985-02-01 00:00:00,2018-06-30,1985-02-21,10.9
1985-03-01 00:00:00,2018-06-30,1985-03-21,31.0
1985-04-01 00:00:00,2018-06-30,1985-04-21,10.0
1985-05-01 00:00:00,2018-06-30,1985-05-21,8.0
1985-06-01 00:00:00,2018-06-30,1985-06-21,-2.4
1985-07-01 00:00:00,2018-06-30,1985-07-21,11.5
1985-08-01 00:00:00,2018-06-30,1985-08-21,6.9
1985-09-01 00:00:00,2018-06-30,1985-09-21,2.3
1985-10-01 00:00:00,2018-06-30,1985-10-21,6.2
1985-11-01 00:00:00,2018-06-30,1985-11-21,19.7
1985-12-01 00:00:00,2018-06-30,1985-12-21,13.5
1986-01-01 00:00:00,2018-06-30,1986-01-21,22.4
1986-02-01 00:00:00,2018-06-30,1986-02-21,19.8
1986-03-01 00:00:00,2018-06-30,1986-03-21,14.0
1986-04-01 00:00:00,2018-06-30,1986-04-21,3.2
1986-05-01 00:00:00,2018-06-30,1986-05-21,1.9
1986-06-01 00:00:00,2018-06-30,1986-06-21,2.8
1986-07-01 00:00:00,2018-06-30,1986-07-21,11.8
1986-08-01 00:00:00,2018-06-30,1986-08-21,6.8
1986-09-01 00:00:00,2018-06-30,1986-09-21,10.6
1986-10-01 00:00:00,2018-06-30,1986-10-21,9.1
1986-11-01 00:00:00,2018-06-30,1986-11-21,16.4
1986-12-01 00:00:00,2018-06-30,1986-12-21,22.8
1987-01-01 00:00:00,2018-06-30,1987-01-21,5.8
1987-02-01 00:00:00,2018-06-30,1987-02-21,9.3
1987-03-01 00:00:00,2018-06-30,1987-03-21,5.6
1987-04-01 00:00:00,2018-06-30,1987-04-21,14.2
1987-05-01 00:00:00,2018-06-30,1987-05-21,19.7
1987-06-01 00:00:00,2018-06-30,1987-06-21,13.0
1987-07-01 00:00:00,2018-06-30,1987-07-21,15.5
1987-08-01 00:00:00,2018-06-30,1987-08-21,30.1
1987-09-01 00:00:00,2018-06-30,1987-09-21,26.3
1987-10-01 00:00:00,2018-06-30,1987-10-21,27.2
1987-11-01 00:00:00,2018-06-30,1987-11-21,11.8
1987-12-01 00:00:00,2018-06-30,1987-12-21,29.9
1988-01-01 00:00:00,2018-06-30,1988-01-21,3.5
1988-02-01 00:00:00,2018-06-30,1988-02-21,18.3
1988-03-01 00:00:00,2018-06-30,1988-03-21,12.8
1988-04-01 00:00:00,2018-06-30,1988-04-21,26.8
1988-05-01 00:00:00,2018-06-30,1988-05-21,17.8
1988-06-01 00:00:00,2018-06-30,1988-06-21,17.4
1988-07-01 00:00:00,2018-06-30,1988-07-21,23.7
1988-08-01 00:00:00,2018-06-30,1988-08-21,15.2
1988-09-01 00:00:00,2018-06-30,1988-09-21,25.6
1988-10-01 00:00:00,2018-06-30,1988-10-21,27.2
1988-11-01 00:00:00,2018-06-30,1988-11-21,27.2
