date,realtime_end,realtime_start,PPI
1980-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,85.2
1980-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,86.9
1980-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,87.5
1980-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,87.8
1980-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,88.3
1980-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,88.7
1980-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,90.3
1980-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,91.5
1980-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,91.7
1980-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,92.8
1980-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,93.2
1980-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,93.8
1981-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,95.2
1981-02-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,96.1
1981-03-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,97.0
1981-04-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.0
1981-05-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.3
1981-06-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.5
1981-07-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.0
1981-08-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.0
1981-09-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.8
1981-10-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.9
1981-11-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.8
1981-12-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,98.8
1982-01-01 00:00:00,2018-06-30 00:00:00,1996-12-11 00:00:00,99.7
