date,realtime_end,realtime_start,RDPI
1980-01-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2758.5
1980-01-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3412.5
1980-01-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3423.6
1980-01-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3668.3
1980-01-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3700.1
1980-01-01 00:00:00,2004-01-19 00:00:00,2003-12-23 00:00:00,
1980-01-01 00:00:00,2004-02-29 00:00:00,2004-01-20 00:00:00,3890.5
1980-01-01 00:00:00,2009-08-03 00:00:00,2004-03-01 00:00:00,3890.3
1980-01-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1980-01-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4324.4
1980-01-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4322.4
1980-01-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4618.9
1980-01-01 00:00:00,2018-06-30 00:00:00,2015-08-03 00:00:00,4618.8
1980-02-01 00:00:00,1996-01-22 00:00:00,1995-01-01 00:00:00,2745.1
1980-02-01 00:00:00,1997-05-06 00:00:00,1996-01-23 00:00:00,3394.5
1980-02-01 00:00:00,1999-11-01 00:00:00,1997-05-07 00:00:00,3405.4
1980-02-01 00:00:00,2000-04-11 00:00:00,1999-11-02 00:00:00,3651.3
1980-02-01 00:00:00,2003-12-22 00:00:00,2000-04-12 00:00:00,3681.6
1980-02-01 00:00:00,2004-01-19 00:00:00,2003-12-23 00:00:00,
1980-02-01 00:00:00,2004-02-29 00:00:00,2004-01-20 00:00:00,3871.4
1980-02-01 00:00:00,2009-08-03 00:00:00,2004-03-01 00:00:00,3871.2
1980-02-01 00:00:00,2009-08-19 00:00:00,2009-08-04 00:00:00,
1980-02-01 00:00:00,2011-08-01 00:00:00,2009-08-20 00:00:00,4299.8
1980-02-01 00:00:00,2013-08-01 00:00:00,2011-08-02 00:00:00,4297.8
1980-02-01 00:00:00,2015-08-02 00:00:00,2013-08-02 00:00:00,4593.5
