date,SP500,realtime_start,realtime_end
1980-01-01,110.86818136363637,1980-01-31,2018-06-30
1980-02-01,115.33900109999999,1980-02-29,2018-06-30
1980-03-01,104.68619066666666,1980-03-31,2018-06-30
1980-04-01,102.96666752380955,1980-04-30,2018-06-30
1980-05-01,107.69428542857142,1980-05-31,2018-06-30
1980-06-01,114.54666652380952,1980-06-30,2018-06-30
1980-07-01,119.83272745454546,1980-07-31,2018-06-30
1980-08-01,123.49666633333334,1980-08-31,2018-06-30
1980-09-01,126.51190299999999,1980-09-30,2018-06-30
1980-10-01,130.22173834782606,1980-10-31,2018-06-30
1980-11-01,135.65444277777775,1980-11-30,2018-06-30
1980-12-01,133.48318218181817,1980-12-31,2018-06-30
1981-01-01,132.9657127142857,1981-01-31,2018-06-30
1981-02-01,128.39526557894737,1981-02-28,2018-06-30
1981-03-01,133.1849997272727,1981-03-31,2018-06-30
1981-04-01,134.42761814285714,1981-04-30,2018-06-30
1981-05-01,131.72700035000003,1981-05-31,2018-06-30
1981-06-01,132.27772936363638,1981-06-30,2018-06-30
1981-07-01,129.12772677272724,1981-07-31,2018-06-30
1981-08-01,129.6295230952381,1981-08-31,2018-06-30
1981-09-01,118.26952409523808,1981-09-30,2018-06-30
1981-10-01,119.79772704545454,1981-10-31,2018-06-30
1981-11-01,122.9194995,1981-11-30,2018-06-30
1981-12-01,123.79409090909088,1981-12-31,2018-06-30
1982-01-01,117.27650029999998,1982-01-31,2018-06-30
1982-02-01,114.49526326315788,1982-02-28,2018-06-30
1982-03-01,110.84217373913043,1982-03-31,2018-06-30
1982-04-01,116.30714333333331,1982-04-30,2018-06-30
1982-05-01,116.35299939999997,1982-05-31,2018-06-30
1982-06-01,109.6977271818182,1982-06-30,2018-06-30
1982-07-01,109.37666680952381,1982-07-31,2018-06-30
1982-08-01,109.65136404545454,1982-08-31,2018-06-30
1982-09-01,122.43333290476191,1982-09-30,2018-06-30
1982-10-01,132.66047733333335,1982-10-31,2018-06-30
1982-11-01,138.1009528571429,1982-11-30,2018-06-30
1982-12-01,139.36591113636365,1982-12-31,2018-06-30
1983-01-01,144.26714214285713,1983-01-31,2018-06-30
1983-02-01,146.7968405263158,1983-02-28,2018-06-30
1983-03-01,151.87652121739129,1983-03-31,2018-06-30
1983-04-01,157.71200025000002,1983-04-30,2018-06-30
1983-05-01,164.09714333333335,1983-05-31,2018-06-30
1983-06-01,166.36909136363636,1983-06-30,2018-06-30
1983-07-01,166.95099875,1983-07-31,2018-06-30
1983-08-01,162.41782473913045,1983-08-31,2018-06-30
1983-09-01,167.1604767142857,1983-09-30,2018-06-30
1983-10-01,167.65428452380954,1983-10-31,2018-06-30
1983-11-01,165.230952,1983-11-30,2018-06-30
1983-12-01,164.37142804761905,1983-12-31,2018-06-30
1984-01-01,166.3928563809524,1984-01-31,2018-06-30
1984-02-01,157.25050124999999,1984-02-29,2018-06-30
1984-03-01,157.43863809090908,1984-03-31,2018-06-30
1984-04-01,157.60149914999994,1984-04-30,2018-06-30
1984-05-01,156.55090886363635,1984-05-31,2018-06-30
1984-06-01,153.124760952381,1984-06-30,2018-06-30
1984-07-01,151.07809595238092,1984-07-31,2018-06-30
1984-08-01,164.42086917391308,1984-08-31,2018-06-30
1984-09-01,166.11262994736842,1984-09-30,2018-06-30
1984-10-01,164.81869439130438,1984-10-31,2018-06-30
1984-11-01,166.27190504761904,1984-11-30,2018-06-30
1984-12-01,164.4800012,1984-12-31,2018-06-30
1985-01-01,171.61272713636365,1985-01-31,2018-06-30
1985-02-01,180.88473763157896,1985-02-28,2018-06-30
1985-03-01,179.41999819047618,1985-03-31,2018-06-30
1985-04-01,180.6185703333334,1985-04-30,2018-06-30
1985-05-01,184.8990895,1985-05-31,2018-06-30
1985-06-01,188.8859994,1985-06-30,2018-06-30
1985-07-01,192.5445445909091,1985-07-31,2018-06-30
1985-08-01,188.3063640454546,1985-08-31,2018-06-30
1985-09-01,184.20579047368417,1985-09-30,2018-06-30
1985-10-01,186.1804345217391,1985-10-31,2018-06-30
1985-11-01,197.44550019999997,1985-11-30,2018-06-30
1985-12-01,207.25761923809526,1985-12-31,2018-06-30
1986-01-01,208.19408972727277,1986-01-31,2018-06-30
1986-02-01,219.36526163157893,1986-02-28,2018-06-30
1986-03-01,232.3270003,1986-03-31,2018-06-30
1986-04-01,237.96772827272727,1986-04-30,2018-06-30
