date,realtime_end,realtime_start,SPREAD
1982-01-01 00:00:00,2018-06-30,1982-01-31,1.67
1982-02-01 00:00:00,2018-06-30,1982-02-28,0.15
1982-03-01 00:00:00,2018-06-30,1982-03-31,0.55
1982-04-01 00:00:00,2018-06-30,1982-04-30,0.53
1982-05-01 00:00:00,2018-06-30,1982-05-31,0.91
1982-06-01 00:00:00,2018-06-30,1982-06-30,1.22
1982-07-01 00:00:00,2018-06-30,1982-07-31,2.09
1982-08-01 00:00:00,2018-06-30,1982-08-31,4.06
1982-09-01 00:00:00,2018-06-30,1982-09-30,4.15
1982-10-01 00:00:00,2018-06-30,1982-10-31,2.94
1982-11-01 00:00:00,2018-06-30,1982-11-30,2.2
1982-12-01 00:00:00,2018-06-30,1982-12-31,2.34
1983-01-01 00:00:00,2018-06-30,1983-01-31,2.34
1983-02-01 00:00:00,2018-06-30,1983-02-28,2.33
1983-03-01 00:00:00,2018-06-30,1983-03-31,1.85
1983-04-01 00:00:00,2018-06-30,1983-04-30,1.89
1983-05-01 00:00:00,2018-06-30,1983-05-31,1.88
1983-06-01 00:00:00,2018-06-30,1983-06-30,1.71
1983-07-01 00:00:00,2018-06-30,1983-07-31,1.93
1983-08-01 00:00:00,2018-06-30,1983-08-31,2.11
1983-09-01 00:00:00,2018-06-30,1983-09-30,2.29
1983-10-01 00:00:00,2018-06-30,1983-10-31,2.55
1983-11-01 00:00:00,2018-06-30,1983-11-30,2.58
1983-12-01 00:00:00,2018-06-30,1983-12-31,2.47
1984-01-01 00:00:00,2018-06-30,1984-01-31,2.41
1984-02-01 00:00:00,2018-06-30,1984-02-29,2.38
1984-03-01 00:00:00,2018-06-30,1984-03-31,2.43
1984-04-01 00:00:00,2018-06-30,1984-04-30,2.56
1984-05-01 00:00:00,2018-06-30,1984-05-31,3.19
1984-06-01 00:00:00,2018-06-30,1984-06-30,3.3
1984-07-01 00:00:00,2018-06-30,1984-07-31,2.83
1984-08-01 00:00:00,2018-06-30,1984-08-31,1.82
1984-09-01 00:00:00,2018-06-30,1984-09-30,1.72
1984-10-01 00:00:00,2018-06-30,1984-10-31,2.04
1984-11-01 00:00:00,2018-06-30,1984-11-30,2.65
1984-12-01 00:00:00,2018-06-30,1984-12-31,3.16
1985-01-01 00:00:00,2018-06-30,1985-01-31,3.36
1985-02-01 00:00:00,2018-06-30,1985-02-28,2.95
1985-03-01 00:00:00,2018-06-30,1985-03-31,3.03
1985-04-01 00:00:00,2018-06-30,1985-04-30,3.21
1985-05-01 00:00:00,2018-06-30,1985-05-31,3.12
1985-06-01 00:00:00,2018-06-30,1985-06-30,2.98
1985-07-01 00:00:00,2018-06-30,1985-07-31,2.99
1985-08-01 00:00:00,2018-06-30,1985-08-31,2.96
1985-09-01 00:00:00,2018-06-30,1985-09-30,3.04
1985-10-01 00:00:00,2018-06-30,1985-10-31,2.84
1985-11-01 00:00:00,2018-06-30,1985-11-30,2.3
1985-12-01 00:00:00,2018-06-30,1985-12-31,1.93
1986-01-01 00:00:00,2018-06-30,1986-01-31,1.89
1986-02-01 00:00:00,2018-06-30,1986-02-28,1.41
1986-03-01 00:00:00,2018-06-30,1986-03-31,1.02
1986-04-01 00:00:00,2018-06-30,1986-04-30,1.06
1986-05-01 00:00:00,2018-06-30,1986-05-31,1.38
1986-06-01 00:00:00,2018-06-30,1986-06-30,1.4
1986-07-01 00:00:00,2018-06-30,1986-07-31,1.3
1986-08-01 00:00:00,2018-06-30,1986-08-31,1.48
1986-09-01 00:00:00,2018-06-30,1986-09-30,2.1
1986-10-01 00:00:00,2018-06-30,1986-10-31,2.11
1986-11-01 00:00:00,2018-06-30,1986-11-30,1.75
1986-12-01 00:00:00,2018-06-30,1986-12-31,1.43
1987-01-01 00:00:00,2018-06-30,1987-01-31,1.5
1987-02-01 00:00:00,2018-06-30,1987-02-28,1.5
1987-03-01 00:00:00,2018-06-30,1987-03-31,1.48
1987-04-01 00:00:00,2018-06-30,1987-04-30,2.2
1987-05-01 00:00:00,2018-06-30,1987-05-31,2.76
1987-06-01 00:00:00,2018-06-30,1987-06-30,2.55
1987-07-01 00:00:00,2018-06-30,1987-07-31,2.57
1987-08-01 00:00:00,2018-06-30,1987-08-31,2.53
1987-09-01 00:00:00,2018-06-30,1987-09-30,2.8
1987-10-01 00:00:00,2018-06-30,1987-10-31,3.17
1987-11-01 00:00:00,2018-06-30,1987-11-30,2.97
1987-12-01 00:00:00,2018-06-30,1987-12-31,3.03
1988-01-01 00:00:00,2018-06-30,1988-01-31,2.67
1988-02-01 00:00:00,2018-06-30,1988-02-29,2.37
1988-03-01 00:00:00,2018-06-30,1988-03-31,2.5
1988-04-01 00:00:00,2018-06-30,1988-04-30,2.64
1988-05-01 00:00:00,2018-06-30,1988-05-31,2.64
1988-06-01 00:00:00,2018-06-30,1988-06-30,2.26
1988-07-01 00:00:00,2018-06-30,1988-07-31,2.11
1988-08-01 00:00:00,2018-06-30,1988-08-31,1.96
1988-09-01 00:00:00,2018-06-30,1988-09-30,1.5
1988-10-01 00:00:00,2018-06-30,1988-10-31,1.2
1988-11-01 00:00:00,2018-06-30,1988-11-30,0.93
1988-12-01 00:00:00,2018-06-30,1988-12-31,0.76
1989-01-01 00:00:00,2018-06-30,1989-01-31,0.53
1989-02-01 00:00:00,2018-06-30,1989-02-28,0.33
1989-03-01 00:00:00,2018-06-30,1989-03-31,0.22
1989-04-01 00:00:00,2018-06-30,1989-04-30,0.22
1989-05-01 00:00:00,2018-06-30,1989-05-31,0.12
1989-06-01 00:00:00,2018-06-30,1989-06-30,-0.15
1989-07-01 00:00:00,2018-06-30,1989-07-31,-0.13
1989-08-01 00:00:00,2018-06-30,1989-08-31,-0.06
1989-09-01 00:00:00,2018-06-30,1989-09-30,0.18
1989-10-01 00:00:00,2018-06-30,1989-10-31,0.11
1989-11-01 00:00:00,2018-06-30,1989-11-30,-0.07
1989-12-01 00:00:00,2018-06-30,1989-12-31,-0.04
1990-01-01 00:00:00,2018-06-30,1990-01-31,0.31
1990-02-01 00:00:00,2018-06-30,1990-02-28,0.47
1990-03-01 00:00:00,2018-06-30,1990-03-31,0.42
1990-04-01 00:00:00,2018-06-30,1990-04-30,0.75
1990-05-01 00:00:00,2018-06-30,1990-05-31,0.75
1990-06-01 00:00:00,2018-06-30,1990-06-30,0.49
1990-07-01 00:00:00,2018-06-30,1990-07-31,0.6
1990-08-01 00:00:00,2018-06-30,1990-08-31,1.06
1990-09-01 00:00:00,2018-06-30,1990-09-30,1.29
1990-10-01 00:00:00,2018-06-30,1990-10-31,1.32
1990-11-01 00:00:00,2018-06-30,1990-11-30,1.1
1990-12-01 00:00:00,2018-06-30,1990-12-31,1.13
1991-01-01 00:00:00,2018-06-30,1991-01-31,1.68
1991-02-01 00:00:00,2018-06-30,1991-02-28,1.73
1991-03-01 00:00:00,2018-06-30,1991-03-31,2.02
1991-04-01 00:00:00,2018-06-30,1991-04-30,2.21
1991-05-01 00:00:00,2018-06-30,1991-05-31,2.44
