date,realtime_end,realtime_start,USD
1980-01-01 00:00:00,2018-06-30,1980-01-31,35.86
1980-02-01 00:00:00,2018-06-30,1980-02-29,36.2089
1980-03-01 00:00:00,2018-06-30,1980-03-31,37.1465
1980-04-01 00:00:00,2018-06-30,1980-04-30,37.4326
1980-05-01 00:00:00,2018-06-30,1980-05-31,36.259
1980-06-01 00:00:00,2018-06-30,1980-06-30,35.6922
1980-07-01 00:00:00,2018-06-30,1980-07-31,35.7021
1980-08-01 00:00:00,2018-06-30,1980-08-31,36.1026
1980-09-01 00:00:00,2018-06-30,1980-09-30,35.8811
1980-10-01 00:00:00,2018-06-30,1980-10-31,36.0536
1980-11-01 00:00:00,2018-06-30,1980-11-30,36.7653
1980-12-01 00:00:00,2018-06-30,1980-12-31,37.1358
1981-01-01 00:00:00,2018-06-30,1981-01-31,37.0637
1981-02-01 00:00:00,2018-06-30,1981-02-28,38.05
1981-03-01 00:00:00,2018-06-30,1981-03-31,38.2959
1981-04-01 00:00:00,2018-06-30,1981-04-30,39.0399
1981-05-01 00:00:00,2018-06-30,1981-05-31,40.1449
1981-06-01 00:00:00,2018-06-30,1981-06-30,40.9463
1981-07-01 00:00:00,2018-06-30,1981-07-31,41.8342
1981-08-01 00:00:00,2018-06-30,1981-08-31,42.5119
1981-09-01 00:00:00,2018-06-30,1981-09-30,41.8378
1981-10-01 00:00:00,2018-06-30,1981-10-31,41.7382
1981-11-01 00:00:00,2018-06-30,1981-11-30,41.2352
1981-12-01 00:00:00,2018-06-30,1981-12-31,41.4273
1982-01-01 00:00:00,2018-06-30,1982-01-31,42.1104
1982-02-01 00:00:00,2018-06-30,1982-02-28,43.5598
1982-03-01 00:00:00,2018-06-30,1982-03-31,44.8249
1982-04-01 00:00:00,2018-06-30,1982-04-30,45.2875
1982-05-01 00:00:00,2018-06-30,1982-05-31,44.8653
1982-06-01 00:00:00,2018-06-30,1982-06-30,46.8101
1982-07-01 00:00:00,2018-06-30,1982-07-31,47.5219
1982-08-01 00:00:00,2018-06-30,1982-08-31,48.6651
1982-09-01 00:00:00,2018-06-30,1982-09-30,49.1017
1982-10-01 00:00:00,2018-06-30,1982-10-31,49.8821
1982-11-01 00:00:00,2018-06-30,1982-11-30,50.078
1982-12-01 00:00:00,2018-06-30,1982-12-31,49.2939
1983-01-01 00:00:00,2018-06-30,1983-01-31,49.2986
1983-02-01 00:00:00,2018-06-30,1983-02-28,50.1162
1983-03-01 00:00:00,2018-06-30,1983-03-31,50.7947
1983-04-01 00:00:00,2018-06-30,1983-04-30,51.5031
1983-05-01 00:00:00,2018-06-30,1983-05-31,51.681
1983-06-01 00:00:00,2018-06-30,1983-06-30,52.7268
1983-07-01 00:00:00,2018-06-30,1983-07-31,53.2555
1983-08-01 00:00:00,2018-06-30,1983-08-31,54.25
1983-09-01 00:00:00,2018-06-30,1983-09-30,54.588
1983-10-01 00:00:00,2018-06-30,1983-10-31,54.3601
1983-11-01 00:00:00,2018-06-30,1983-11-30,55.1389
1983-12-01 00:00:00,2018-06-30,1983-12-31,55.9662
1984-01-01 00:00:00,2018-06-30,1984-01-31,56.6598
1984-02-01 00:00:00,2018-06-30,1984-02-29,56.4816
1984-03-01 00:00:00,2018-06-30,1984-03-31,56.2779
1984-04-01 00:00:00,2018-06-30,1984-04-30,57.013
1984-05-01 00:00:00,2018-06-30,1984-05-31,58.3156
1984-06-01 00:00:00,2018-06-30,1984-06-30,59.0032
1984-07-01 00:00:00,2018-06-30,1984-07-31,60.7986
1984-08-01 00:00:00,2018-06-30,1984-08-31,61.1534
1984-09-01 00:00:00,2018-06-30,1984-09-30,62.8506
1984-10-01 00:00:00,2018-06-30,1984-10-31,63.849
1984-11-01 00:00:00,2018-06-30,1984-11-30,63.7735
1984-12-01 00:00:00,2018-06-30,1984-12-31,65.1475
1985-01-01 00:00:00,2018-06-30,1985-01-31,66.5187
1985-02-01 00:00:00,2018-06-30,1985-02-28,68.5337
1985-03-01 00:00:00,2018-06-30,1985-03-31,69.2367
1985-04-01 00:00:00,2018-06-30,1985-04-30,67.8008
1985-05-01 00:00:00,2018-06-30,1985-05-31,68.3559
1985-06-01 00:00:00,2018-06-30,1985-06-30,68.2042
1985-07-01 00:00:00,2018-06-30,1985-07-31,67.0258
1985-08-01 00:00:00,2018-06-30,1985-08-31,67.0263
1985-09-01 00:00:00,2018-06-30,1985-09-30,67.7718
1985-10-01 00:00:00,2018-06-30,1985-10-31,65.4388
1985-11-01 00:00:00,2018-06-30,1985-11-30,64.9168
1985-12-01 00:00:00,2018-06-30,1985-12-31,65.0381
1986-01-01 00:00:00,2018-06-30,1986-01-31,64.9783
1986-02-01 00:00:00,2018-06-30,1986-02-28,63.5747
1986-03-01 00:00:00,2018-06-30,1986-03-31,62.9331
1986-04-01 00:00:00,2018-06-30,1986-04-30,62.7122
1986-05-01 00:00:00,2018-06-30,1986-05-31,61.8118
1986-06-01 00:00:00,2018-06-30,1986-06-30,62.3251
1986-07-01 00:00:00,2018-06-30,1986-07-31,61.4561
1986-08-01 00:00:00,2018-06-30,1986-08-31,60.9089
1986-09-01 00:00:00,2018-06-30,1986-09-30,61.1942
1986-10-01 00:00:00,2018-06-30,1986-10-31,61.4934
1986-11-01 00:00:00,2018-06-30,1986-11-30,62.3702
1986-12-01 00:00:00,2018-06-30,1986-12-31,62.4267
1987-01-01 00:00:00,2018-06-30,1987-01-31,60.8462
1987-02-01 00:00:00,2018-06-30,1987-02-28,60.5291
1987-03-01 00:00:00,2018-06-30,1987-03-31,60.4773
1987-04-01 00:00:00,2018-06-30,1987-04-30,59.7043
1987-05-01 00:00:00,2018-06-30,1987-05-31,59.6325
1987-06-01 00:00:00,2018-06-30,1987-06-30,60.5782
1987-07-01 00:00:00,2018-06-30,1987-07-31,61.6028
1987-08-01 00:00:00,2018-06-30,1987-08-31,61.638
1987-09-01 00:00:00,2018-06-30,1987-09-30,60.9387
1987-10-01 00:00:00,2018-06-30,1987-10-31,61.0368
1987-11-01 00:00:00,2018-06-30,1987-11-30,59.4714
1987-12-01 00:00:00,2018-06-30,1987-12-31,58.6431
1988-01-01 00:00:00,2018-06-30,1988-01-31,59.104
1988-02-01 00:00:00,2018-06-30,1988-02-29,59.7802
1988-03-01 00:00:00,2018-06-30,1988-03-31,59.2901
1988-04-01 00:00:00,2018-06-30,1988-04-30,59.0075
1988-05-01 00:00:00,2018-06-30,1988-05-31,59.4392
1988-06-01 00:00:00,2018-06-30,1988-06-30,60.5403
1988-07-01 00:00:00,2018-06-30,1988-07-31,62.1886
1988-08-01 00:00:00,2018-06-30,1988-08-31,63.0768
1988-09-01 00:00:00,2018-06-30,1988-09-30,63.3727
1988-10-01 00:00:00,2018-06-30,1988-10-31,62.344
1988-11-01 00:00:00,2018-06-30,1988-11-30,61.3602
1988-12-01 00:00:00,2018-06-30,1988-12-31,61.5591
1989-01-01 00:00:00,2018-06-30,1989-01-31,62.9025
1989-02-01 00:00:00,2018-06-30,1989-02-28,63.2856
1989-03-01 00:00:00,2018-06-30,1989-03-31,64.3096
1989-04-01 00:00:00,2018-06-30,1989-04-30,64.8369
1989-05-01 00:00:00,2018-06-30,1989-05-31,66.43
1989-06-01 00:00:00,2018-06-30,1989-06-30,68.0355
1989-07-01 00:00:00,2018-06-30,1989-07-31,67.3819
1989-08-01 00:00:00,2018-06-30,1989-08-31,68.2819
1989-09-01 00:00:00,2018-06-30,1989-09-30,69.4326
1989-10-01 00:00:00,2018-06-30,1989-10-31,68.9528
1989-11-01 00:00:00,2018-06-30,1989-11-30,69.3945
1989-12-01 00:00:00,2018-06-30,1989-12-31,69.6101
1990-01-01 00:00:00,2018-06-30,1990-01-31,70.1345
1990-02-01 00:00:00,2018-06-30,1990-02-28,71.1232
1990-03-01 00:00:00,2018-06-30,1990-03-31,72.9546
1990-04-01 00:00:00,2018-06-30,1990-04-30,73.3941
1990-05-01 00:00:00,2018-06-30,1990-05-31,72.962
1990-06-01 00:00:00,2018-06-30,1990-06-30,73.2249
1990-07-01 00:00:00,2018-06-30,1990-07-31,72.0906
1990-08-01 00:00:00,2018-06-30,1990-08-31,71.0147
1990-09-01 00:00:00,2018-06-30,1990-09-30,70.5077
1990-10-01 00:00:00,2018-06-30,1990-10-31,69.3448
1990-11-01 00:00:00,2018-06-30,1990-11-30,69.4716
1990-12-01 00:00:00,2018-06-30,1990-12-31,70.6934
1991-01-01 00:00:00,2018-06-30,1991-01-31,71.0738
1991-02-01 00:00:00,2018-06-30,1991-02-28,70.7005
1991-03-01 00:00:00,2018-06-30,1991-03-31,73.3824
1991-04-01 00:00:00,2018-06-30,1991-04-30,74.5544
1991-05-01 00:00:00,2018-06-30,1991-05-31,75.0827
1991-06-01 00:00:00,2018-06-30,1991-06-30,76.2585
1991-07-01 00:00:00,2018-06-30,1991-07-31,76.408
1991-08-01 00:00:00,2018-06-30,1991-08-31,75.8928
1991-09-01 00:00:00,2018-06-30,1991-09-30,75.1196
1991-10-01 00:00:00,2018-06-30,1991-10-31,75.1015
1991-11-01 00:00:00,2018-06-30,1991-11-30,74.4726
1991-12-01 00:00:00,2018-06-30,1991-12-31,74.126
1992-01-01 00:00:00,2018-06-30,1992-01-31,74.4082
1992-02-01 00:00:00,2018-06-30,1992-02-29,75.6435
1992-03-01 00:00:00,2018-06-30,1992-03-31,77.3368
1992-04-01 00:00:00,2018-06-30,1992-04-30,77.4242
1992-05-01 00:00:00,2018-06-30,1992-05-31,77.0866
1992-06-01 00:00:00,2018-06-30,1992-06-30,76.2443
1992-07-01 00:00:00,2018-06-30,1992-07-31,75.3025
1992-08-01 00:00:00,2018-06-30,1992-08-31,75.1183
1992-09-01 00:00:00,2018-06-30,1992-09-30,75.8731
1992-10-01 00:00:00,2018-06-30,1992-10-31,77.5271
1992-11-01 00:00:00,2018-06-30,1992-11-30,80.1583
1992-12-01 00:00:00,2018-06-30,1992-12-31,80.8499
1993-01-01 00:00:00,2018-06-30,1993-01-31,82.0023
1993-02-01 00:00:00,2018-06-30,1993-02-28,82.5443
1993-03-01 00:00:00,2018-06-30,1993-03-31,82.4072
1993-04-01 00:00:00,2018-06-30,1993-04-30,81.5063
1993-05-01 00:00:00,2018-06-30,1993-05-31,81.8694
1993-06-01 00:00:00,2018-06-30,1993-06-30,82.7197
1993-07-01 00:00:00,2018-06-30,1993-07-31,84.0634
1993-08-01 00:00:00,2018-06-30,1993-08-31,84.242
1993-09-01 00:00:00,2018-06-30,1993-09-30,84.4005
1993-10-01 00:00:00,2018-06-30,1993-10-31,85.4585
1993-11-01 00:00:00,2018-06-30,1993-11-30,86.6715
1993-12-01 00:00:00,2018-06-30,1993-12-31,87.518
1994-01-01 00:00:00,2018-06-30,1994-01-31,90.388
1994-02-01 00:00:00,2018-06-30,1994-02-28,90.4705
1994-03-01 00:00:00,2018-06-30,1994-03-31,90.9911
1994-04-01 00:00:00,2018-06-30,1994-04-30,91.6541
1994-05-01 00:00:00,2018-06-30,1994-05-31,91.7219
1994-06-01 00:00:00,2018-06-30,1994-06-30,92.0166
1994-07-01 00:00:00,2018-06-30,1994-07-31,90.8465
1994-08-01 00:00:00,2018-06-30,1994-08-31,90.84
1994-09-01 00:00:00,2018-06-30,1994-09-30,90.0052
1994-10-01 00:00:00,2018-06-30,1994-10-31,89.5426
1994-11-01 00:00:00,2018-06-30,1994-11-30,89.9678
1994-12-01 00:00:00,2018-06-30,1994-12-31,92.0418
1995-01-01 00:00:00,2018-06-30,1995-01-31,94.0871
1995-02-01 00:00:00,2018-06-30,1995-02-28,93.6275
1995-03-01 00:00:00,2018-06-30,1995-03-31,92.738
1995-04-01 00:00:00,2018-06-30,1995-04-30,90.1488
1995-05-01 00:00:00,2018-06-30,1995-05-31,90.1369
1995-06-01 00:00:00,2018-06-30,1995-06-30,90.3097
1995-07-01 00:00:00,2018-06-30,1995-07-31,90.3452
1995-08-01 00:00:00,2018-06-30,1995-08-31,92.4834
1995-09-01 00:00:00,2018-06-30,1995-09-30,93.8448
1995-10-01 00:00:00,2018-06-30,1995-10-31,93.6617
1995-11-01 00:00:00,2018-06-30,1995-11-30,94.8835
1995-12-01 00:00:00,2018-06-30,1995-12-31,95.567
1996-01-01 00:00:00,2018-06-30,1996-01-31,96.4501
1996-02-01 00:00:00,2018-06-30,1996-02-29,96.6093
1996-03-01 00:00:00,2018-06-30,1996-03-31,96.6007
1996-04-01 00:00:00,2018-06-30,1996-04-30,96.8903
1996-05-01 00:00:00,2018-06-30,1996-05-31,97.3537
1996-06-01 00:00:00,2018-06-30,1996-06-30,97.8128
1996-07-01 00:00:00,2018-06-30,1996-07-31,97.6823
1996-08-01 00:00:00,2018-06-30,1996-08-31,97.26
1996-09-01 00:00:00,2018-06-30,1996-09-30,97.7927
1996-10-01 00:00:00,2018-06-30,1996-10-31,98.2434
1996-11-01 00:00:00,2018-06-30,1996-11-30,97.8598
1996-12-01 00:00:00,2018-06-30,1996-12-31,98.9296
1997-01-01 00:00:00,2018-06-30,1997-01-31,100.0
1997-02-01 00:00:00,2018-06-30,1997-02-28,101.8516
1997-03-01 00:00:00,2018-06-30,1997-03-31,102.6546
1997-04-01 00:00:00,2018-06-30,1997-04-30,103.452
1997-05-01 00:00:00,2018-06-30,1997-05-31,102.4414
1997-06-01 00:00:00,2018-06-30,1997-06-30,102.0955
1997-07-01 00:00:00,2018-06-30,1997-07-31,103.2968
1997-08-01 00:00:00,2018-06-30,1997-08-31,105.1786
1997-09-01 00:00:00,2018-06-30,1997-09-30,105.6641
1997-10-01 00:00:00,2018-06-30,1997-10-31,106.2741
1997-11-01 00:00:00,2018-06-30,1997-11-30,108.0039
1997-12-01 00:00:00,2018-06-30,1997-12-31,112.2393
1998-01-01 00:00:00,2018-06-30,1998-01-31,115.9906
1998-02-01 00:00:00,2018-06-30,1998-02-28,114.4475
1998-03-01 00:00:00,2018-06-30,1998-03-31,114.1786
1998-04-01 00:00:00,2018-06-30,1998-04-30,113.9345
1998-05-01 00:00:00,2018-06-30,1998-05-31,114.8202
