date,realtime_end,realtime_start,VXO
1986-01-01 00:00:00,2018-06-30,1986-01-31,18.12
1986-02-01 00:00:00,2018-06-30,1986-02-28,20.62
1986-03-01 00:00:00,2018-06-30,1986-03-31,23.56
1986-04-01 00:00:00,2018-06-30,1986-04-30,23.02
1986-05-01 00:00:00,2018-06-30,1986-05-31,18.89
1986-06-01 00:00:00,2018-06-30,1986-06-30,18.6
1986-07-01 00:00:00,2018-06-30,1986-07-31,19.64
1986-08-01 00:00:00,2018-06-30,1986-08-31,18.64
1986-09-01 00:00:00,2018-06-30,1986-09-30,22.71
1986-10-01 00:00:00,2018-06-30,1986-10-31,22.52
1986-11-01 00:00:00,2018-06-30,1986-11-30,18.63
1986-12-01 00:00:00,2018-06-30,1986-12-31,19.76
1987-01-01 00:00:00,2018-06-30,1987-01-31,20.77
1987-02-01 00:00:00,2018-06-30,1987-02-28,23.45
1987-03-01 00:00:00,2018-06-30,1987-03-31,21.84
1987-04-01 00:00:00,2018-06-30,1987-04-30,26.88
1987-05-01 00:00:00,2018-06-30,1987-05-31,25.41
1987-06-01 00:00:00,2018-06-30,1987-06-30,21.62
1987-07-01 00:00:00,2018-06-30,1987-07-31,17.8
1987-08-01 00:00:00,2018-06-30,1987-08-31,20.85
1987-09-01 00:00:00,2018-06-30,1987-09-30,22.89
1987-10-01 00:00:00,2018-06-30,1987-10-31,58.22
1987-11-01 00:00:00,2018-06-30,1987-11-30,49.44
1987-12-01 00:00:00,2018-06-30,1987-12-31,41.76
1988-01-01 00:00:00,2018-06-30,1988-01-31,38.34
1988-02-01 00:00:00,2018-06-30,1988-02-29,33.67
1988-03-01 00:00:00,2018-06-30,1988-03-31,29.36
1988-04-01 00:00:00,2018-06-30,1988-04-30,27.41
1988-05-01 00:00:00,2018-06-30,1988-05-31,25.72
1988-06-01 00:00:00,2018-06-30,1988-06-30,25.27
1988-07-01 00:00:00,2018-06-30,1988-07-31,23.64
1988-08-01 00:00:00,2018-06-30,1988-08-31,23.71
1988-09-01 00:00:00,2018-06-30,1988-09-30,19.52
1988-10-01 00:00:00,2018-06-30,1988-10-31,20.48
1988-11-01 00:00:00,2018-06-30,1988-11-30,21.66
1988-12-01 00:00:00,2018-06-30,1988-12-31,17.75
1989-01-01 00:00:00,2018-06-30,1989-01-31,17.76
1989-02-01 00:00:00,2018-06-30,1989-02-28,18.31
1989-03-01 00:00:00,2018-06-30,1989-03-31,17.48
1989-04-01 00:00:00,2018-06-30,1989-04-30,16.89
1989-05-01 00:00:00,2018-06-30,1989-05-31,17.44
1989-06-01 00:00:00,2018-06-30,1989-06-30,16.73
1989-07-01 00:00:00,2018-06-30,1989-07-31,18.06
1989-08-01 00:00:00,2018-06-30,1989-08-31,19.32
1989-09-01 00:00:00,2018-06-30,1989-09-30,16.75
1989-10-01 00:00:00,2018-06-30,1989-10-31,21.95
1989-11-01 00:00:00,2018-06-30,1989-11-30,20.93
1989-12-01 00:00:00,2018-06-30,1989-12-31,18.24
1990-01-01 00:00:00,2018-06-30,1990-01-31,23.5
1990-02-01 00:00:00,2018-06-30,1990-02-28,23.33
1990-03-01 00:00:00,2018-06-30,1990-03-31,18.83
1990-04-01 00:00:00,2018-06-30,1990-04-30,20.46
1990-05-01 00:00:00,2018-06-30,1990-05-31,18.15
1990-06-01 00:00:00,2018-06-30,1990-06-30,17.58
1990-07-01 00:00:00,2018-06-30,1990-07-31,18.93
1990-08-01 00:00:00,2018-06-30,1990-08-31,27.78
1990-09-01 00:00:00,2018-06-30,1990-09-30,28.82
1990-10-01 00:00:00,2018-06-30,1990-10-31,30.13
1990-11-01 00:00:00,2018-06-30,1990-11-30,25.11
1990-12-01 00:00:00,2018-06-30,1990-12-31,22.58
1991-01-01 00:00:00,2018-06-30,1991-01-31,26.93
1991-02-01 00:00:00,2018-06-30,1991-02-28,22.11
1991-03-01 00:00:00,2018-06-30,1991-03-31,19.04
1991-04-01 00:00:00,2018-06-30,1991-04-30,18.93
1991-05-01 00:00:00,2018-06-30,1991-05-31,17.18
1991-06-01 00:00:00,2018-06-30,1991-06-30,17.58
1991-07-01 00:00:00,2018-06-30,1991-07-31,17.67
1991-08-01 00:00:00,2018-06-30,1991-08-31,15.93
1991-09-01 00:00:00,2018-06-30,1991-09-30,17.03
1991-10-01 00:00:00,2018-06-30,1991-10-31,16.85
1991-11-01 00:00:00,2018-06-30,1991-11-30,17.68
1991-12-01 00:00:00,2018-06-30,1991-12-31,18.02
1992-01-01 00:00:00,2018-06-30,1992-01-31,17.5
1992-02-01 00:00:00,2018-06-30,1992-02-29,17.05
1992-03-01 00:00:00,2018-06-30,1992-03-31,16.22
1992-04-01 00:00:00,2018-06-30,1992-04-30,16.19
1992-05-01 00:00:00,2018-06-30,1992-05-31,14.73
1992-06-01 00:00:00,2018-06-30,1992-06-30,14.75
1992-07-01 00:00:00,2018-06-30,1992-07-31,13.3
1992-08-01 00:00:00,2018-06-30,1992-08-31,14.42
1992-09-01 00:00:00,2018-06-30,1992-09-30,14.26
1992-10-01 00:00:00,2018-06-30,1992-10-31,17.48
1992-11-01 00:00:00,2018-06-30,1992-11-30,14.59
1992-12-01 00:00:00,2018-06-30,1992-12-31,12.78
1993-01-01 00:00:00,2018-06-30,1993-01-31,12.58
1993-02-01 00:00:00,2018-06-30,1993-02-28,13.62
1993-03-01 00:00:00,2018-06-30,1993-03-31,13.69
1993-04-01 00:00:00,2018-06-30,1993-04-30,13.46
1993-05-01 00:00:00,2018-06-30,1993-05-31,13.49
1993-06-01 00:00:00,2018-06-30,1993-06-30,12.97
1993-07-01 00:00:00,2018-06-30,1993-07-31,11.87
1993-08-01 00:00:00,2018-06-30,1993-08-31,11.95
1993-09-01 00:00:00,2018-06-30,1993-09-30,12.65
1993-10-01 00:00:00,2018-06-30,1993-10-31,11.38
1993-11-01 00:00:00,2018-06-30,1993-11-30,13.37
1993-12-01 00:00:00,2018-06-30,1993-12-31,10.86
1994-01-01 00:00:00,2018-06-30,1994-01-31,10.61
1994-02-01 00:00:00,2018-06-30,1994-02-28,12.89
1994-03-01 00:00:00,2018-06-30,1994-03-31,14.24
1994-04-01 00:00:00,2018-06-30,1994-04-30,15.33
1994-05-01 00:00:00,2018-06-30,1994-05-31,13.39
1994-06-01 00:00:00,2018-06-30,1994-06-30,12.95
1994-07-01 00:00:00,2018-06-30,1994-07-31,12.16
1994-08-01 00:00:00,2018-06-30,1994-08-31,11.36
1994-09-01 00:00:00,2018-06-30,1994-09-30,12.65
