date,realtime_end,realtime_start,GDPC1
1947-01-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1239.5
1947-01-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1947-01-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1402.5
1947-01-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1947-01-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1481.7
1947-01-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1570.5
1947-01-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,1772.2
1947-01-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,1770.7
1947-01-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,1932.6
1947-01-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,1934.5
1947-01-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,1934.471
1947-04-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1247.2
1947-04-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1947-04-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1424.6
1947-04-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1947-04-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1489.4
1947-04-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1568.7
1947-04-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,1769.5
1947-04-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,1768.0
1947-04-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,1930.4
1947-04-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,1932.3
1947-04-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,1932.281
1947-07-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1255.0
1947-07-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1947-07-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1437.5
1947-07-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1947-07-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1493.1
1947-07-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1568.0
1947-07-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,1768.0
1947-07-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,1766.5
1947-07-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,1928.4
1947-07-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,1930.3
1947-07-01 00:00:00,2018-06-30 00:00:00,2017-10-27 00:00:00,1930.315
1947-10-01 00:00:00,1996-01-18 00:00:00,1992-12-22 00:00:00,1269.5
1947-10-01 00:00:00,1997-05-06 00:00:00,1996-01-19 00:00:00,
1947-10-01 00:00:00,1999-10-27 00:00:00,1997-05-07 00:00:00,1458.1
1947-10-01 00:00:00,2000-04-26 00:00:00,1999-10-28 00:00:00,
1947-10-01 00:00:00,2003-12-09 00:00:00,2000-04-27 00:00:00,1516.4
1947-10-01 00:00:00,2009-07-30 00:00:00,2003-12-10 00:00:00,1590.9
1947-10-01 00:00:00,2011-07-28 00:00:00,2009-07-31 00:00:00,1794.8
1947-10-01 00:00:00,2013-07-30 00:00:00,2011-07-29 00:00:00,1793.3
1947-10-01 00:00:00,2014-07-29 00:00:00,2013-07-31 00:00:00,1958.8
1947-10-01 00:00:00,2017-10-26 00:00:00,2014-07-30 00:00:00,1960.7
