date,realtime_end,realtime_start,HOUST
1959-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1657.0
1959-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1667.0
1959-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1620.0
1959-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1590.0
1959-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1498.0
1959-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1503.0
1959-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1547.0
1959-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1430.0
1959-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1540.0
1959-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1355.0
1959-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1416.0
1959-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1601.0
1960-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1460.0
1960-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1503.0
1960-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1109.0
1960-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1289.0
1960-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1271.0
1960-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1247.0
1960-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1197.0
1960-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1344.0
1960-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1097.0
1960-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1246.0
1960-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1246.0
1960-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1063.0
1961-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1183.0
1961-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1226.0
1961-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1312.0
1961-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1166.0
1961-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1228.0
1961-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1382.0
1961-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1335.0
1961-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1312.0
1961-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1429.0
1961-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1415.0
1961-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1385.0
1961-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1365.0
1962-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1361.0
1962-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1278.0
1962-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1443.0
1962-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1524.0
1962-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1483.0
1962-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1404.0
1962-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1450.0
1962-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1517.0
1962-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1324.0
1962-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1533.0
1962-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1622.0
1962-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1564.0
1963-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1244.0
1963-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1456.0
1963-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1534.0
1963-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1689.0
1963-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1641.0
1963-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1588.0
1963-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1614.0
1963-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1639.0
1963-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1763.0
1963-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1779.0
1963-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1622.0
1963-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1491.0
1964-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1603.0
1964-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1820.0
1964-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1517.0
1964-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1448.0
1964-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1467.0
1964-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1550.0
1964-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1562.0
1964-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1569.0
1964-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1455.0
1964-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1524.0
1964-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1486.0
1964-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1484.0
1965-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1361.0
1965-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1433.0
1965-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1423.0
1965-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1438.0
1965-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1478.0
1965-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1488.0
1965-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1529.0
1965-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1432.0
1965-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1482.0
1965-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1452.0
1965-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1460.0
1965-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1656.0
1966-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1370.0
1966-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1378.0
1966-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1394.0
1966-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1352.0
1966-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1265.0
1966-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1194.0
1966-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1086.0
1966-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1119.0
1966-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1046.0
1966-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,843.0
1966-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,961.0
1966-12-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,990.0
1967-01-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1067.0
1967-02-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1123.0
1967-03-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1056.0
1967-04-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1091.0
1967-05-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1304.0
1967-06-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1248.0
1967-07-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1364.0
1967-08-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1407.0
1967-09-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1421.0
1967-10-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1491.0
1967-11-01 00:00:00,2018-06-30 00:00:00,1990-01-01 00:00:00,1538.0
