date,realtime_end,realtime_start,INDPRO
1919-01-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,10.2
1919-01-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.0
1919-01-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,7.624
1919-01-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,7.628
1919-01-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1919-01-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.4412
1919-01-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.4404
1919-01-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,4.8404
1919-01-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,4.8502
1919-01-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,4.8605
1919-01-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,4.8575
1919-01-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,4.8582
1919-01-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.0354
1919-01-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.0585
1919-01-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.0346
1919-01-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.0124
1919-02-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,9.7
1919-02-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,7.6
1919-02-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,7.287
1919-02-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,7.291
1919-02-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1919-02-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.2007
1919-02-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.2
1919-02-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,4.6265
1919-02-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,4.6358
1919-02-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,4.6457
1919-02-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,4.6428
1919-02-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,4.6435
1919-02-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,4.8128
1919-02-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,4.8349
1919-02-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,4.8121
1919-02-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,4.7908
1919-03-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,9.5
1919-03-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,7.4
1919-03-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,7.077
1919-03-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,7.08
1919-03-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1919-03-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.0504
1919-03-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.0497
1919-03-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,4.4928
1919-03-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,4.5019
1919-03-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,4.5114
1919-03-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,4.5086
1919-03-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,4.5092
1919-03-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,4.6737
1919-03-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,4.6952
1919-03-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,4.673
1919-03-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,4.6523
1919-04-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,9.6
1919-04-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,7.5
1919-04-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,7.203
1919-04-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,7.206
1919-04-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1919-04-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.1405
1919-04-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.1399
1919-04-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,4.573
1919-04-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,4.5822
1919-04-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,4.592
1919-04-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,4.5891
1919-04-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,4.5898
1919-04-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,4.7572
1919-04-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,4.779
1919-04-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,4.7565
1919-04-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,4.7354
1919-05-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,9.7
1919-05-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,7.6
1919-05-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,7.245
1919-05-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,7.249
1919-05-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1919-05-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.1706
1919-05-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.1699
1919-05-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,4.5997
1919-05-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,4.609
1919-05-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,4.6188
1919-05-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,4.616
1919-05-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,4.6166
1919-05-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,4.785
1919-05-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,4.807
1919-05-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,4.7843
1919-05-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,4.7631
1919-06-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,10.3
1919-06-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.1
1919-06-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,7.708
1919-06-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,7.712
1919-06-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
1919-06-01 00:00:00,2009-03-26 00:00:00,2008-03-28 00:00:00,5.5013
1919-06-01 00:00:00,2010-06-24 00:00:00,2009-03-27 00:00:00,5.5006
1919-06-01 00:00:00,2011-03-24 00:00:00,2010-06-25 00:00:00,4.8939
1919-06-01 00:00:00,2012-03-29 00:00:00,2011-03-25 00:00:00,4.9038
1919-06-01 00:00:00,2013-03-21 00:00:00,2012-03-30 00:00:00,4.9142
1919-06-01 00:00:00,2014-04-15 00:00:00,2013-03-22 00:00:00,4.9112
1919-06-01 00:00:00,2015-07-20 00:00:00,2014-04-16 00:00:00,4.9119
1919-06-01 00:00:00,2016-03-31 00:00:00,2015-07-21 00:00:00,5.091
1919-06-01 00:00:00,2017-03-30 00:00:00,2016-04-01 00:00:00,5.1144
1919-06-01 00:00:00,2018-03-22 00:00:00,2017-03-31 00:00:00,5.0902
1919-06-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,5.0677
1919-07-01 00:00:00,1990-04-16 00:00:00,1990-01-01 00:00:00,10.9
1919-07-01 00:00:00,1997-01-26 00:00:00,1990-04-17 00:00:00,8.5
1919-07-01 00:00:00,1997-12-08 00:00:00,1997-01-27 00:00:00,8.172
1919-07-01 00:00:00,1999-08-16 00:00:00,1997-12-09 00:00:00,8.176
1919-07-01 00:00:00,2008-03-27 00:00:00,1999-08-17 00:00:00,
