date,realtime_end,realtime_start,PAYEMS
1939-01-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,29750.0
1939-01-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,29783.0
1939-01-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,29923.0
1939-02-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,29848.0
1939-02-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,29875.0
1939-02-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,30100.0
1939-02-01 00:00:00,2018-06-30 00:00:00,2014-02-07 00:00:00,30101.0
1939-03-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,30142.0
1939-03-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,30147.0
1939-03-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,30280.0
1939-04-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,29980.0
1939-04-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,29965.0
1939-04-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,30094.0
1939-05-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,30175.0
1939-05-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,30164.0
1939-05-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,30300.0
1939-06-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,30402.0
1939-06-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,30393.0
1939-06-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,30502.0
1939-07-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,30464.0
1939-07-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,30452.0
1939-07-01 00:00:00,2018-06-30 00:00:00,2003-06-06 00:00:00,30419.0
1939-08-01 00:00:00,1994-06-02 00:00:00,1990-01-01 00:00:00,30639.0
1939-08-01 00:00:00,2003-06-05 00:00:00,1994-06-03 00:00:00,30623.0
1939-08-01 00:00:00,2014-02-06 00:00:00,2003-06-06 00:00:00,30662.0
