date,realtime_end,realtime_start,PPIACO
1913-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.1
1913-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.0
1913-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.0
1913-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.0
1913-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.9
1913-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.9
1913-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.0
1913-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.0
1913-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.2
1913-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.2
1913-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.1
1913-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.9
1914-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.8
1914-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.8
1914-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.7
1914-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.7
1914-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.6
1914-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.6
1914-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.6
1914-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.0
1914-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.1
1914-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.7
1914-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.7
1914-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.6
1915-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.8
1915-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.8
1915-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.8
1915-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.8
1915-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.9
1915-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.8
1915-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.9
1915-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.8
1915-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,11.8
1915-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.1
1915-11-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.3
1915-12-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,12.8
1916-01-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.3
1916-02-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.5
1916-03-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,13.9
1916-04-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.1
1916-05-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.2
1916-06-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.3
1916-07-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.4
1916-08-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,14.7
1916-09-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.0
1916-10-01 00:00:00,2018-06-30 00:00:00,1999-08-13 00:00:00,15.7
