date,realtime_end,realtime_start,TCU
1967-01-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,88.7
1967-01-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,89.4
1967-01-01 00:00:00,2018-06-30 00:00:00,2018-02-15 00:00:00,89.3902
1967-02-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,87.3
1967-02-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,88.0
1967-02-01 00:00:00,2018-06-30 00:00:00,2018-02-15 00:00:00,87.975
1967-03-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.4
1967-03-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,87.1
1967-03-01 00:00:00,2018-06-30 00:00:00,2018-02-15 00:00:00,87.0835
1967-04-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.8
1967-04-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,87.5
1967-04-01 00:00:00,2018-06-30 00:00:00,2018-02-15 00:00:00,87.5089
1967-05-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,85.7
1967-05-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,86.4
1967-05-01 00:00:00,2018-06-30 00:00:00,2018-02-15 00:00:00,86.3566
1967-06-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,85.3
1967-06-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,86.0
1967-06-01 00:00:00,2018-06-30 00:00:00,2018-02-15 00:00:00,85.9603
1967-07-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,84.8
1967-07-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,85.4
1967-07-01 00:00:00,2018-06-30 00:00:00,2018-02-15 00:00:00,85.3833
1967-08-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.0
1967-08-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,86.6
1967-08-01 00:00:00,2018-06-30 00:00:00,2018-02-15 00:00:00,86.6339
1967-09-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,85.5
1967-09-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,86.1
1967-09-01 00:00:00,2018-06-30 00:00:00,2018-02-15 00:00:00,86.1122
1967-10-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,85.8
1967-10-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,86.4
1967-10-01 00:00:00,2018-06-30 00:00:00,2018-02-15 00:00:00,86.4325
1967-11-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.7
1967-11-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,87.3
1967-11-01 00:00:00,2018-06-30 00:00:00,2018-02-15 00:00:00,87.2856
1967-12-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,87.3
1967-12-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,87.8
1967-12-01 00:00:00,2018-06-30 00:00:00,2018-02-15 00:00:00,87.8417
1968-01-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.8
1968-01-01 00:00:00,2018-02-14 00:00:00,1997-01-27 00:00:00,87.4
1968-01-01 00:00:00,2018-03-22 00:00:00,2018-02-15 00:00:00,87.3835
1968-01-01 00:00:00,2018-06-30 00:00:00,2018-03-23 00:00:00,87.3831
1968-02-01 00:00:00,1997-01-26 00:00:00,1996-11-15 00:00:00,86.8
1968-02-01 00:00:00,2008-03-27 00:00:00,1997-01-27 00:00:00,87.3
1968-02-01 00:00:00,2011-03-24 00:00:00,2008-03-28 00:00:00,87.4
1968-02-01 00:00:00,2013-03-21 00:00:00,2011-03-25 00:00:00,87.3
